EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
12,0,1,28,0,0.6989700043360189,46,3,6,1,1
11,0,0,17,0,0.8129133566428556,34,3,6,0,0
12,0,0,24,1,1.0314084642516241,42,3,6,2,1
3,1,0,55,0,0.8450980400142568,64,2,6,1,1
12,1,0,3,0,1.0580462303952818,21,3,6,2,0
12,0,0,6,1,0.6020599913279624,24,1,6,1,0
10,0,0,27,0,0.9542425094393249,43,3,6,2,1
12,1,0,19,1,1.1139433523068367,37,1,6,1,1
12,0,0,19,1,1.0870712059065355,37,3,6,2,1
12,0,1,38,0,0.7979596437371962,56,3,6,1,1
10,1,0,41,1,0.829303772831025,57,1,6,1,1
11,1,0,3,0,0.5250448070368452,20,1,6,1,0
14,0,0,20,1,1.2041199826559248,40,3,6,0,1
10,0,0,15,0,0.7201593034059569,31,3,6,0,1
8,1,0,8,0,0.5440680443502757,22,2,6,1,1
8,1,1,39,0,0.6253124509616739,53,3,6,1,1
6,0,1,43,1,0.47712125471966244,55,2,6,1,1
11,1,1,25,1,0.6020599913279624,42,3,6,1,1
12,0,0,11,1,1.0,29,3,6,0,1
12,0,0,12,0,0.6989700043360189,30,1,6,0,1
12,1,0,35,1,1.2041199826559248,53,3,6,1,1
14,0,0,14,0,1.1455071714096625,34,3,6,0,0
12,0,0,16,1,1.1225435240687542,34,3,6,0,1
10,0,1,44,1,0.785329835010767,60,3,6,1,0
16,1,1,13,0,0.5740312677277188,35,3,6,0,0
13,0,0,8,1,0.9542425094393249,27,1,6,1,0
12,0,0,13,0,0.9754318085092629,31,3,6,1,0
11,0,0,18,1,0.7403626894942439,35,3,6,0,1
12,0,1,18,0,0.9508514588885464,36,3,6,0,1
12,1,1,6,0,0.7958800173440752,24,3,6,0,0
11,1,0,37,1,0.9890046156985368,54,3,6,1,1
12,1,0,2,0,0.8280150642239769,20,3,6,1,1
12,0,0,23,0,0.890979596989689,41,3,6,1,1
12,0,0,1,0,0.4548448600085102,19,3,6,0,0
12,1,1,10,0,0.5250448070368452,28,1,6,1,1
12,0,0,23,0,1.3005954838899636,41,3,6,1,1
12,0,0,8,1,0.9294189257142927,26,1,6,0,1
15,0,1,9,0,0.9890046156985368,30,3,6,1,1
12,0,0,33,1,1.1760912590556813,51,3,6,2,1
12,0,1,19,0,0.9030899869919435,37,3,6,1,1
13,0,0,14,0,1.0511525224473812,33,3,6,0,1
11,0,0,13,1,1.146128035678238,30,3,6,0,1
10,0,0,12,0,1.0,28,3,6,2,1
12,0,0,8,0,0.8129133566428556,26,3,6,0,0
12,0,0,23,0,0.9925535178321356,41,3,6,1,1
14,0,1,13,0,1.2671717284030137,33,3,6,1,0
12,1,0,9,0,1.0969100130080565,27,3,6,0,1
14,0,0,21,1,1.414973347970818,41,3,6,0,1
5,1,0,44,0,1.146128035678238,55,3,6,2,1
12,0,0,4,1,1.021189299069938,22,3,6,0,1
8,0,0,42,0,1.0413926851582251,56,3,6,1,1
13,0,0,10,1,1.0958664534785427,29,3,6,0,1
12,0,0,11,0,1.0969100130080565,29,3,6,2,0
12,0,0,40,1,1.1760912590556813,58,3,6,2,1
12,0,0,8,0,0.7781512503836436,26,3,6,2,0
11,1,0,29,0,0.9777236052888477,46,3,6,2,1
16,0,0,3,1,0.6989700043360189,25,3,6,0,0
11,0,0,11,0,0.5740312677277188,28,3,6,2,0
12,0,0,12,1,1.0993352776859577,30,3,6,0,1
8,0,1,22,0,0.8375884382355113,36,2,6,0,1
12,0,0,12,0,0.7403626894942439,30,3,6,0,1
12,0,0,7,1,0.8450980400142568,25,3,6,0,1
12,0,1,15,0,0.6532125137753437,33,3,6,1,0
12,0,0,28,0,0.8129133566428556,46,3,6,0,1
12,1,0,20,1,1.0791812460476249,38,3,6,1,1
12,1,0,6,0,0.6989700043360189,24,3,6,2,0
12,1,0,5,0,0.8129133566428556,23,3,6,1,0
9,1,1,30,0,0.8325089127062363,45,3,6,1,1
13,0,0,18,0,0.9420080530223133,37,3,6,0,1
12,1,1,6,0,0.5740312677277188,24,1,6,1,1
12,1,0,16,0,0.6532125137753437,34,2,6,0,0
12,1,0,1,1,0.7781512503836436,19,2,6,0,0
12,0,0,3,0,0.7403626894942439,21,3,6,1,0
12,0,0,8,0,1.1139433523068367,26,3,6,0,1
14,0,0,2,0,0.7520484478194386,22,3,6,1,0
9,0,0,16,0,0.6812412373755872,31,1,6,1,0
10,1,0,9,0,0.8450980400142568,25,3,6,2,1
12,0,0,2,0,0.7201593034059569,20,3,6,0,0
7,1,0,43,0,0.5250448070368452,56,3,6,1,1
9,0,0,38,0,0.9294189257142927,53,3,6,1,1
12,0,0,9,0,0.7781512503836436,27,3,6,0,1
12,1,0,12,0,0.829303772831025,30,3,6,0,1
12,0,0,18,0,0.9489017609702137,36,3,6,1,1
11,0,0,15,1,1.1525940779274697,32,3,6,1,0
11,1,0,28,1,1.0326187608507198,45,1,6,2,1
10,1,0,27,1,0.9493900066449128,43,3,6,2,1
12,1,0,38,0,0.8750612633917001,56,3,6,0,1
12,0,1,3,0,0.6532125137753437,21,3,6,1,0
12,0,0,41,1,1.0511525224473812,59,3,6,0,1
12,1,0,16,1,1.1287222843384268,34,3,6,0,1
13,1,0,7,0,0.7781512503836436,26,3,6,1,1
6,1,1,33,0,0.6646419755561255,45,1,6,1,0
14,0,0,25,0,1.024485667699167,45,3,6,1,1
12,1,0,5,0,0.6989700043360189,23,3,6,0,1
14,1,0,17,0,0.9138138523837167,37,1,6,0,0
12,1,0,1,0,0.7958800173440752,19,3,6,0,0
12,0,0,13,0,0.9294189257142927,31,3,6,1,1
16,0,0,18,0,1.3975924340381167,40,3,1,0,1
14,1,0,21,0,1.2214142378423387,41,3,1,0,1
14,0,0,2,0,0.7958800173440752,22,3,1,0,0
12,1,1,4,0,0.6580113966571124,22,2,1,0,0
12,1,1,30,0,1.0511525224473812,48,2,1,0,1
13,0,0,32,0,1.3273589343863303,51,3,1,0,0
17,0,1,13,0,1.1020905255118367,36,3,1,0,1
12,0,0,17,0,0.8750612633917001,35,3,1,0,0
14,0,1,26,0,1.0107238653917732,46,3,1,0,1
16,0,0,9,0,0.5250448070368452,31,3,1,0,0
16,0,0,8,0,1.1287222843384268,30,1,1,0,0
15,0,0,1,1,0.6848453616444125,22,3,1,0,1
17,1,0,32,0,1.4197905861063627,55,3,1,0,1
12,0,1,24,0,0.8182258936139555,42,3,1,0,1
14,0,1,1,0,1.6483600109809315,21,3,1,0,0
12,0,0,42,0,1.1760912590556813,60,3,1,1,1
16,0,1,3,0,1.0511525224473812,25,1,1,1,0
12,0,1,32,0,0.8450980400142568,50,3,1,0,1
14,0,0,22,0,1.0,42,1,1,0,0
16,0,0,18,0,1.1622656142980214,40,3,1,0,1
18,0,1,19,0,1.3010299956639813,43,3,1,0,1
15,0,0,12,0,1.3521825181113625,33,3,1,0,1
12,0,1,42,0,0.561101383649056,60,3,1,0,1
12,1,0,34,0,1.0261245167454502,52,3,1,0,1
18,0,0,29,0,1.3975924340381167,53,3,1,0,1
16,1,0,8,0,0.7781512503836436,30,3,1,0,0
18,0,0,13,0,1.2787536009528289,37,3,1,1,0
16,0,0,10,0,1.1205739312058498,32,3,1,0,0
16,0,0,22,0,1.3521825181113625,44,3,1,0,1
16,1,0,10,0,1.1760912590556813,32,3,1,0,1
17,0,1,15,0,0.8375884382355113,38,3,1,0,1
12,0,0,26,0,1.073351702386901,44,3,1,0,1
14,0,0,16,0,1.2079035303860517,36,3,1,0,0
18,0,1,14,0,1.1445742076096164,38,3,1,0,1
12,0,1,38,0,1.1192558892779367,56,3,1,0,1
12,1,0,14,0,0.724275869600789,32,1,1,0,1
12,0,1,7,0,0.6532125137753437,25,3,1,0,1
18,1,1,13,0,1.0,37,3,1,0,0
10,0,0,20,0,1.0,36,3,1,0,1
16,0,0,7,1,1.0,29,2,1,0,1
16,0,1,26,0,0.9717395908877783,48,3,1,0,1
16,0,0,14,0,0.7634279935629372,36,3,1,0,1
13,0,0,36,0,1.2518814545525276,55,3,1,0,0
12,0,0,24,0,0.0,42,3,1,0,1
14,1,0,41,0,0.9444826721501687,61,3,1,0,1
16,0,0,7,0,0.9542425094393249,29,1,1,0,1
17,1,0,14,0,1.2591158441850663,37,3,1,0,0
12,1,1,1,0,0.8926510338773003,19,3,1,0,0
16,0,1,6,0,1.0261245167454502,28,3,1,1,1
12,0,1,3,0,0.6532125137753437,21,3,1,0,1
15,0,0,31,0,1.236789099409293,52,3,1,0,1
13,0,1,14,0,1.021189299069938,33,3,1,1,1
14,0,1,13,0,0.9647309210536293,33,3,1,0,1
16,0,0,26,1,1.1760912590556813,48,1,1,1,1
18,0,0,14,0,1.3521825181113625,38,3,1,0,1
13,0,1,33,0,0.6580113966571124,52,3,2,0,1
12,0,0,16,0,0.9542425094393249,34,3,2,0,1
18,0,0,10,0,1.1248301494138593,34,3,2,0,1
14,0,0,22,0,1.1760912590556813,42,3,2,0,0
14,0,0,2,0,0.8750612633917001,22,3,2,0,0
12,1,1,29,0,0.6283889300503115,47,3,2,0,1
12,0,0,43,0,1.0969100130080565,61,3,2,1,1
12,0,1,5,0,0.7101173651118162,23,3,2,0,1
16,1,1,14,0,0.5250448070368452,36,1,2,0,1
12,1,0,28,0,1.0457140589408676,46,3,2,0,1
11,1,1,25,0,0.5843312243675308,42,1,2,0,1
12,0,1,45,0,0.8061799739838872,63,3,2,0,1
14,1,0,5,0,0.7450747915820575,25,3,2,0,0
12,1,0,20,0,1.0,38,3,2,1,1
16,0,1,6,0,0.7520484478194386,28,3,2,0,1
16,0,0,16,0,1.0606978403536116,38,3,2,0,1
11,0,1,33,0,0.5440680443502757,50,3,2,0,1
13,1,1,2,0,0.5250448070368452,21,3,2,0,1
12,1,1,10,0,0.6766936096248666,28,3,2,0,0
14,1,0,44,0,1.3005954838899636,64,3,2,0,1
14,1,1,6,0,0.5440680443502757,26,3,2,0,1
12,0,1,15,0,0.6020599913279624,33,3,2,0,0
12,0,0,5,0,0.8450980400142568,23,3,2,0,1
13,0,1,4,0,0.7958800173440752,23,3,2,1,1
14,0,0,14,0,0.6532125137753437,34,3,2,0,1
14,0,1,32,0,1.1550322287909702,52,3,2,0,1
12,0,1,14,0,0.6989700043360189,32,3,2,0,1
14,0,0,21,0,1.1383026981662814,41,3,2,0,1
12,0,0,43,1,1.1370374547895128,61,3,2,0,1
12,1,1,27,0,0.8750612633917001,45,1,2,0,1
12,0,1,4,0,0.5797835966168101,22,3,2,0,0
14,0,0,0,0,0.6989700043360189,20,2,2,0,0
12,1,0,32,0,0.9740509027928773,50,3,2,0,1
12,0,0,20,0,0.7403626894942439,38,3,2,0,1
15,1,0,4,0,0.5740312677277188,25,3,2,0,0
12,0,0,34,0,0.5440680443502757,52,3,2,0,1
13,0,0,5,0,0.7634279935629372,24,3,2,0,0
17,0,0,13,0,1.0791812460476249,36,3,2,1,1
14,0,1,17,0,0.6989700043360189,37,2,3,0,1
13,1,1,10,0,0.9420080530223133,29,3,3,0,1
16,0,1,7,0,1.0,29,3,3,0,1
12,0,1,25,0,0.9294189257142927,43,3,3,0,0
12,0,1,18,0,0.9360107957152096,36,1,3,0,1
16,0,1,27,0,0.9542425094393249,49,3,3,1,1
16,0,1,2,0,0.7403626894942439,24,3,3,0,0
13,0,0,13,0,1.0457140589408676,32,3,3,0,1
14,0,1,24,0,1.0,44,3,3,0,0
18,1,1,13,0,0.7160033436347992,37,2,3,0,1
14,0,1,15,1,0.9030899869919435,35,3,3,0,0
12,1,1,12,0,0.5514499979728752,30,2,3,0,0
12,0,1,24,0,0.7160033436347992,42,3,3,0,1
12,0,1,43,0,1.06707085604537,61,3,3,2,1
12,0,1,13,0,1.0538464268522527,31,3,3,1,1
12,1,1,16,0,0.8750612633917001,34,3,3,0,1
11,0,1,24,0,0.7403626894942439,41,3,3,0,1
16,1,1,4,0,0.6989700043360189,26,3,3,0,1
12,0,1,24,0,0.8893017025063102,42,3,3,0,1
12,0,1,45,0,0.7201593034059569,63,3,3,0,1
12,0,0,20,1,0.9542425094393249,38,3,3,0,1
12,0,1,38,0,0.9845273133437926,56,3,3,0,1
18,1,0,10,0,0.7168377232995244,34,3,3,0,1
11,0,1,16,0,0.8450980400142568,33,1,3,0,1
12,1,1,32,0,1.0849335749367162,50,1,3,0,1
16,1,1,2,0,0.7201593034059569,24,3,3,0,0
13,1,1,28,0,1.0136796972911926,47,3,3,0,0
16,0,0,3,0,0.5250448070368452,25,1,3,0,0
13,0,1,8,1,0.8864907251724818,27,3,3,0,0
12,0,1,44,0,0.9623693356700211,62,3,3,1,1
12,1,0,12,0,0.9258275746247423,30,3,3,0,1
12,1,0,8,0,0.6020599913279624,26,1,3,0,1
12,0,1,4,0,0.615950051656401,22,3,3,0,1
12,1,1,28,0,0.47712125471966244,46,3,3,0,1
13,1,1,0,0,0.6283889300503115,19,3,3,0,0
14,1,0,1,0,0.8767949762007006,21,3,3,0,0
14,0,1,12,0,1.0224283711854865,32,3,3,1,1
12,0,1,39,0,0.6989700043360189,57,3,3,0,1
12,0,1,24,0,1.176958980586908,42,3,3,0,1
17,0,1,32,0,1.0511525224473812,55,1,3,0,1
16,0,0,4,0,0.7958800173440752,26,1,3,0,0
12,0,1,25,0,0.5440680443502757,43,1,3,0,0
12,0,0,8,0,0.8356905714924255,26,1,3,0,0
13,0,1,16,0,1.0969100130080565,35,3,3,0,1
12,1,0,5,0,1.0791812460476249,23,3,3,0,0
13,0,0,31,0,0.7781512503836436,50,3,3,0,0
12,0,1,25,0,0.9777236052888477,43,3,3,0,0
12,0,1,15,0,0.6127838567197355,33,3,3,0,1
14,1,1,15,0,1.018284308426531,35,3,3,0,1
12,0,1,0,0,0.6989700043360189,18,3,3,0,0
12,0,0,19,0,0.8859263398014311,37,3,3,0,1
12,0,1,21,0,0.7403626894942439,39,1,3,0,0
12,0,1,6,0,0.8061799739838872,24,3,3,0,0
12,0,1,14,1,1.0969100130080565,32,3,3,0,1
13,0,1,30,0,0.7958800173440752,49,3,3,0,1
12,0,1,8,0,0.9030899869919435,26,3,3,0,0
9,0,0,33,1,0.9822712330395684,48,3,3,0,0
13,0,0,16,0,0.9590413923210935,35,2,3,0,0
12,1,1,20,0,0.8750612633917001,38,3,3,0,0
13,1,1,6,0,0.6989700043360189,25,3,3,0,1
12,0,1,10,1,0.8450980400142568,28,3,3,0,1
13,1,1,1,0,0.5502283530550941,20,3,3,0,0
12,1,0,2,0,0.9294189257142927,20,1,3,0,0
13,1,1,0,0,0.6532125137753437,19,3,3,0,0
16,0,0,17,0,0.8965262174895553,39,1,3,0,1
12,0,1,8,0,0.7201593034059569,26,3,3,0,0
12,1,0,4,0,0.6989700043360189,22,3,3,0,0
12,0,1,15,0,0.9698816437465,33,3,3,0,0
12,0,1,29,0,1.021189299069938,47,3,3,0,1
12,1,1,23,0,0.8750612633917001,41,1,3,0,1
12,1,1,39,0,0.9777236052888477,57,3,3,0,1
12,1,1,14,0,0.9822712330395684,32,3,3,0,1
17,1,1,6,0,0.7686381012476144,29,1,3,0,0
14,1,0,12,1,1.0421815945157662,32,3,3,0,1
12,1,1,26,0,0.6989700043360189,44,3,3,0,0
14,0,1,32,0,0.7497363155690611,52,3,3,0,1
15,0,1,6,0,1.0969100130080565,27,3,3,0,1
12,0,1,40,0,1.0338256939533104,58,3,3,0,1
12,0,1,18,0,0.7323937598229685,36,3,3,1,1
11,0,1,12,0,0.8450980400142568,29,3,3,0,0
12,1,1,36,0,0.6618126855372612,54,3,3,2,1
12,0,1,19,0,0.7781512503836436,37,3,3,0,1
16,0,1,42,0,1.0685568950723632,64,3,3,1,0
13,0,1,2,0,0.7497363155690611,21,2,3,0,1
12,0,1,33,0,0.7403626894942439,51,3,3,0,1
12,1,1,14,0,0.6857417386022636,32,3,3,0,1
12,0,0,22,0,0.829303772831025,40,3,3,0,0
12,0,1,20,0,0.6283889300503115,38,3,3,0,1
12,0,1,15,0,0.7596678446896304,33,3,3,0,1
12,0,0,35,0,0.5440680443502757,53,3,3,0,1
12,0,1,7,0,0.5250448070368452,25,3,3,0,1
12,0,1,45,0,1.0261245167454502,63,3,3,1,0
12,0,1,9,0,0.9030899869919435,27,3,3,0,0
12,1,1,2,0,0.6766936096248666,20,3,3,0,1
17,1,0,3,0,0.9294189257142927,26,3,3,0,0
14,0,1,19,1,0.9469432706978255,39,1,3,0,1
12,1,1,14,0,0.9030899869919435,32,3,3,0,1
4,0,0,54,0,0.7781512503836436,64,3,4,0,1
14,0,0,17,0,0.8536982117761743,37,3,4,0,1
8,0,1,29,0,0.5314789170422551,43,1,4,0,1
15,1,1,26,0,0.7781512503836436,47,3,4,0,0
2,0,0,16,0,0.5740312677277188,24,2,4,0,0
8,0,1,29,0,0.9489017609702137,43,1,4,0,0
11,0,1,20,0,0.6384892569546373,37,3,4,0,1
10,1,1,38,0,1.1172712956557642,54,1,4,0,1
8,1,1,37,0,0.6384892569546373,51,1,4,0,1
9,0,0,48,0,0.5440680443502757,63,3,4,0,0
12,0,1,16,0,0.5797835966168101,34,3,4,0,0
8,0,1,38,0,0.7209857441537391,52,3,4,0,1
14,0,0,0,0,0.5250448070368452,20,1,4,0,0
12,0,0,14,1,1.2111205412580495,32,1,4,0,0
12,0,1,2,0,0.6283889300503115,20,3,4,0,1
16,0,0,21,0,0.6532125137753437,43,3,4,0,1
13,0,1,15,0,0.9030899869919435,34,3,4,0,1
16,0,1,20,0,0.6020599913279624,42,3,4,0,0
14,0,1,12,0,0.900913067737669,32,3,4,0,1
12,1,0,7,0,0.6020599913279624,25,2,4,0,0
11,0,0,4,0,0.6180480967120927,21,3,4,0,1
13,1,0,9,0,0.7745169657285496,28,3,4,0,1
12,1,1,43,0,0.5563025007672873,61,2,4,0,1
10,1,0,19,0,0.9420080530223133,35,3,4,0,0
8,0,1,49,0,0.5314789170422551,63,3,4,0,0
12,0,1,38,0,0.631443769013172,56,3,4,0,1
12,0,1,13,0,0.7283537820212285,31,3,4,0,1
12,0,1,14,0,0.6989700043360189,32,3,4,0,1
12,0,0,20,0,0.8836614351536176,38,3,4,0,0
12,0,1,7,0,0.8413594704548549,25,3,4,0,0
12,0,1,9,1,0.8750612633917001,27,3,4,1,1
12,0,1,6,0,0.5563025007672873,24,3,4,0,0
12,1,1,5,0,0.24303804868629444,23,3,4,0,1
13,1,1,1,0,0.5378190950732742,20,1,4,0,0
14,0,0,22,1,0.9836262871245346,42,3,4,0,1
12,0,1,24,0,0.9289076902439527,42,3,4,0,1
12,0,1,15,1,0.9537596917332288,33,3,4,0,0
11,1,1,8,0,0.5622928644564748,25,3,4,0,1
11,1,1,17,0,0.5440680443502757,34,3,4,0,1
12,1,0,2,0,0.5352941200427705,20,1,4,0,0
12,1,0,20,0,0.7403626894942439,38,3,4,0,1
12,0,0,26,1,0.8407332346118067,44,3,4,0,1
10,1,1,37,0,0.5453071164658241,53,1,4,0,1
12,0,1,41,0,0.5740312677277188,59,3,4,0,0
12,0,1,27,0,0.6201360549737575,45,3,4,0,1
12,0,1,5,1,0.9809119377768436,23,3,4,0,1
14,0,0,16,0,1.1664301138432827,36,1,4,0,1
14,0,1,19,0,1.0969100130080565,39,3,4,0,1
12,0,0,10,0,0.7403626894942439,28,3,4,0,1
13,1,0,1,1,0.7118072290411911,20,3,4,0,0
12,0,1,43,1,0.9030899869919435,61,1,4,0,1
13,0,0,3,0,0.7656685547590141,22,1,4,0,0
12,0,1,0,0,0.5250448070368452,18,3,4,0,0
12,1,1,26,0,0.8450980400142568,44,3,4,0,1
10,0,1,25,1,1.0,41,3,4,0,1
12,0,1,15,0,0.9030899869919435,33,3,4,0,1
14,1,1,10,0,0.8375884382355113,30,3,4,0,0
11,0,1,45,1,0.7442929831226762,62,3,4,0,0
11,0,0,3,0,0.8750612633917001,20,1,4,0,0
8,0,0,47,1,0.9508514588885464,61,2,4,0,1
16,0,1,6,0,0.9542425094393249,28,1,4,0,1
10,1,1,33,0,0.5440680443502757,49,3,4,0,0
16,0,0,3,0,0.7611758131557314,25,3,4,1,0
14,0,0,4,1,1.3979400086720377,24,2,4,0,0
14,0,0,34,1,0.8356905714924255,54,1,4,0,1
11,1,0,39,0,0.8129133566428556,56,3,4,0,1
12,1,1,17,0,0.5740312677277188,35,3,4,0,1
9,0,0,47,1,0.5440680443502757,62,3,4,0,1
11,0,0,2,0,0.6532125137753437,19,3,4,0,0
13,1,0,0,0,0.30319605742048883,19,3,4,0,0
14,0,1,24,0,0.6201360549737575,44,3,4,0,0
12,0,0,25,1,1.1139433523068367,43,1,4,0,1
14,0,1,6,0,0.5998830720736879,26,3,4,0,0
12,0,1,10,0,0.8750612633917001,28,3,4,0,0
12,0,1,33,0,1.1179338350396415,51,1,4,0,1
12,0,0,12,0,0.6020599913279624,30,3,4,0,0
12,1,1,9,0,0.5965970956264602,27,3,4,0,1
11,1,0,18,1,1.1139433523068367,35,3,4,0,1
12,0,0,10,0,0.9542425094393249,28,3,4,0,1
8,1,1,45,0,0.6580113966571124,59,3,4,0,0
9,0,1,46,1,0.9777236052888477,61,3,4,0,1
7,1,0,14,0,0.6532125137753437,27,2,4,0,1
11,0,1,36,0,0.9420080530223133,53,3,4,0,0
13,0,0,34,1,1.0,53,3,5,2,1
18,0,0,15,0,1.255272505103306,39,3,5,0,1
17,0,0,31,0,1.3975924340381167,54,3,5,1,1
16,0,1,6,0,1.0809870469108873,28,3,5,1,0
14,1,0,15,0,1.3424226808222062,35,3,5,0,1
12,0,0,30,0,0.9420080530223133,48,3,5,0,1
18,0,0,8,0,1.3463529744506386,32,3,5,0,1
18,0,0,5,0,1.236789099409293,29,3,5,1,1
17,0,1,3,1,0.7781512503836436,26,3,5,0,0
13,1,0,17,0,0.9063350418050907,36,3,5,0,1
16,0,0,5,1,0.9656719712201067,27,1,5,1,1
14,0,1,10,0,1.0791812460476249,30,3,5,0,1
15,0,1,33,0,1.0257153839013406,54,3,5,0,0
18,0,0,3,0,0.756636108245848,27,3,5,0,1
16,0,1,0,0,1.0,18,3,5,0,0
16,1,0,13,0,1.2430380486862944,35,1,5,0,1
18,0,0,12,0,1.1760912590556813,36,3,5,0,1
16,0,1,6,0,0.890979596989689,28,3,5,0,1
17,0,0,7,0,0.8920946026904804,30,3,5,0,1
16,1,0,14,1,1.0,36,3,5,0,1
17,0,1,5,0,1.3975924340381167,28,3,5,0,0
15,1,1,10,0,1.011993114659257,31,3,5,0,1
18,0,1,11,0,1.1760912590556813,35,3,5,0,1
17,0,1,24,0,1.0791812460476249,47,3,5,0,1
16,0,0,9,0,1.024485667699167,31,3,5,1,0
18,1,0,12,0,0.7671558660821804,36,3,5,0,1
18,0,0,19,0,1.0499928569201427,43,3,5,0,1
14,0,1,14,0,0.9324737646771533,34,3,5,0,1
16,0,1,17,0,1.1427022457376157,39,3,5,1,0
18,1,0,7,0,0.756636108245848,31,3,5,0,0
18,0,0,7,0,1.1983821300082942,31,3,5,0,1
16,0,1,22,0,0.8750612633917001,44,3,5,0,1
12,0,1,28,0,1.0511525224473812,46,3,5,0,1
16,0,1,16,0,0.7888751157754168,38,3,5,0,0
16,1,0,16,0,1.1287222843384268,38,1,5,0,0
16,0,1,7,0,0.7958800173440752,29,3,5,0,1
12,0,1,11,0,0.8129133566428556,29,3,5,0,0
12,0,1,11,0,1.0791812460476249,29,3,5,0,1
12,0,1,16,0,0.9294189257142927,34,3,5,0,0
18,0,0,33,1,0.9030899869919435,57,3,5,0,0
12,1,1,21,0,0.7596678446896304,39,3,5,0,1
16,0,0,4,0,1.1967287226232868,26,3,5,1,1
15,0,0,13,0,0.9938769149412112,34,3,5,0,1
18,0,0,14,1,1.1306553490220306,38,3,5,0,1
16,0,1,10,0,0.7323937598229685,32,3,5,0,1
18,1,0,14,0,0.7958800173440752,38,3,5,0,1
16,1,0,29,0,0.7403626894942439,51,3,5,0,1
12,0,0,4,0,0.6989700043360189,22,2,5,0,0
18,0,0,27,0,0.7958800173440752,51,1,5,0,1
12,0,0,3,0,0.7596678446896304,21,3,5,0,1
16,1,0,14,1,1.3117538610557542,36,3,5,0,1
14,0,0,0,0,0.6989700043360189,20,3,5,2,1
18,0,0,33,0,0.8450980400142568,57,3,5,0,1
